scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time
scenario_318,37794.74631758605,0.4035143269807499,2152290.671952708,2190085.821784621,2.133582830429077,10.234780073165894,0.0,12.579190969467165
scenario_319,37537.14873604597,0.7001422836724688,2575373.806533012,2612911.6554113417,2.1082568168640137,10.091070175170898,0.0,12.424272775650024
scenario_320,37782.66604014157,0.6971790810746082,2171950.7351815472,2209734.0984007698,2.142294883728028,10.164608001708984,0.0,12.517828941345217
scenario_321,38288.98357221489,0.7211800383119872,2837003.7241528593,2875293.4289051127,2.1574831008911133,10.35629105567932,0.0,12.737794160842896
scenario_322,38403.114449186425,0.6794669800931296,2714180.6660868996,2752584.460003066,2.146723985671997,10.035672903060911,0.0,12.407954931259155
scenario_323,38310.0482009297,0.7028763705788603,2272073.647627176,2310384.398704476,2.1451640129089355,10.012382984161375,0.0,12.383203983306885
scenario_324,38069.16624501824,0.6859860734104959,2746434.976138921,2784504.828370013,2.1582372188568115,10.126769781112673,0.0,12.49726104736328
scenario_325,37843.060382702686,0.6774447938631827,2725017.959189939,2762861.6970174355,2.144345998764038,10.32013702392578,0.0,12.674901008605955
scenario_326,37895.14179463678,0.3888470642691418,2714895.8258243087,2752791.3564660097,2.1405200958251958,10.58364200592041,0.0,12.936126947402954
scenario_327,37445.71768699595,0.4031706263591815,2529275.453711186,2566721.5745688085,2.1527469158172607,10.640312910079956,0.0,13.00434684753418
scenario_328,37495.6307864526,0.7278979027046764,2545611.9244388645,2583108.28312322,2.152740001678467,9.906986951828005,0.0,12.271106958389282
scenario_329,38518.29895859107,0.7208856906088832,2557403.76762758,2595922.7874718616,2.150606155395508,10.036381006240845,0.0,12.412175178527832
scenario_330,37925.78753538775,0.6916406849541693,2820306.7525676666,2858233.2317437395,2.1448988914489746,9.991173028945925,0.0,12.36009693145752
scenario_331,38106.091318490246,0.6738717395339939,2667023.283991257,2705130.049181487,2.155871868133545,10.177772045135498,0.0,12.54445195198059
scenario_332,37676.61831582984,0.6656427942418383,2492177.8998855227,2529855.183844147,2.155029058456421,10.241545915603638,0.0,12.608065128326416
scenario_333,37552.902889550256,0.4034316834861768,2531022.613245098,2568575.9195663314,2.1398720741271973,10.41343092918396,0.0,12.764021158218384
scenario_334,38198.9728595994,0.6791128823287563,2568576.6601554826,2606776.312127964,2.156913042068481,9.932827949523926,0.0,12.30088710784912
scenario_335,38291.65337740601,0.3866311508767658,2657669.5268769097,2695961.5668854667,2.16587495803833,10.17974090576172,0.0,12.556902885437012
scenario_336,38410.47590078537,0.7116572285117081,2796027.4282861147,2834438.6158441287,2.1587629318237305,9.713488101959229,0.0,12.095778942108154
scenario_337,38515.590857907126,0.4344415481706142,3029100.9254788836,3067616.950778339,2.1517269611358643,9.960763931274414,0.0,12.323458909988403
scenario_338,38251.99722927569,0.6938319767294872,2688166.611841932,2726419.302903184,2.157315969467163,10.189249038696287,0.0,12.55783486366272
scenario_339,37625.50074033574,0.7266982137685951,2594615.5307980995,2632241.758236649,2.1461470127105717,10.016134023666382,0.0,12.37411403656006
scenario_340,38761.8400026813,0.7184267427102538,2690337.8017385183,2729100.3601679425,2.1361749172210693,9.935168027877808,0.0,12.283143043518066
scenario_341,37491.41639195768,0.6746764082313973,2608326.281424469,2645818.372492835,2.1549880504608154,10.085669040679932,0.0,12.452518939971924
scenario_342,38673.28845674717,0.7036404020201144,2648455.1760629322,2687129.1681600814,2.1606359481811523,9.885982990264893,0.0,12.257088899612429
scenario_343,37253.58796024623,0.395812922018716,2412556.0969724497,2449810.080745618,2.16092300415039,10.041515111923218,0.0,12.42726707458496
scenario_344,38037.00345633082,0.7375274933164874,2585068.264688024,2623106.005671848,2.1561498641967773,10.33796501159668,0.0,12.719133853912354
scenario_345,38043.47421406885,0.6223059410332782,2507679.671969202,2545723.768489212,2.156374931335449,9.96475315093994,0.0,12.332189083099363
scenario_346,38728.975493384816,0.7461314656481414,2768586.50080427,2807316.2224291204,2.1451258659362797,10.49633812904358,0.0,12.853392839431764
scenario_347,37934.94481833344,0.6811037793352142,2582868.8187686275,2620804.44469074,2.1416468620300293,10.161515951156616,0.0,12.515066862106323
scenario_348,38153.60152075175,0.6747258592790317,2513731.1667759805,2551885.4430225915,2.156402111053467,10.303638935089111,0.0,12.671848058700562
scenario_349,37985.493977835446,0.6865749582291578,2639346.4449969186,2677332.625549712,2.149061918258667,10.135756015777588,0.0,12.49739408493042
scenario_350,37603.89163488994,0.7026000111496989,2191002.97185844,2228607.566093341,2.146639823913574,10.361387014389038,0.0,12.719565868377686
