scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time,second_stage_runtime,ipopt_obj,ipopt_time,termination_status
scenario_326,44567.81287402892,0.3938418091183162,579472.8765424989,624041.083258337,2.347182035446167,11.579488039016724,0.0,14.15714192390442,44.92204999923706,296269.3414877974,3.778162002563477,LOCALLY_SOLVED
scenario_327,44059.27737525814,0.4250157848190486,590175.2418839216,634234.9442749645,2.3716490268707275,12.277751922607422,0.0,14.891824960708618,42.23295879364014,276808.9325631564,4.432633876800537,LOCALLY_SOLVED
scenario_328,44183.229909333546,0.6791037969478713,590699.0338198101,634882.9428329406,2.3804521560668945,11.034640789031982,0.0,13.657963037490845,46.01530718803406,281733.5064428733,3.148219108581543,LOCALLY_SOLVED
scenario_329,44872.91055607007,0.3923193065510216,557465.4291800177,602338.7320553943,2.3636138439178467,11.68182921409607,0.0,14.275187015533447,47.90513610839844,304610.9281633632,3.810222148895264,LOCALLY_SOLVED
scenario_330,44501.551351577335,0.3598826115808914,585603.2274091048,630105.1386432938,2.371875047683716,11.47582197189331,0.0,14.090296983718872,41.912566900253296,293146.71132278745,3.563288927078247,LOCALLY_SOLVED
scenario_331,44637.68414595523,0.3909733020343337,564278.3933100321,608916.4684292894,2.3637561798095703,11.088611841201782,0.0,13.693979024887083,47.26825594902039,295848.3460155334,3.230676889419556,LOCALLY_SOLVED
scenario_332,44181.67874081576,0.4028412723807437,612253.5187302387,656435.6003123268,2.372442960739136,11.552763938903809,0.0,14.154167890548706,44.361422061920166,284046.3115581813,3.637929201126098,LOCALLY_SOLVED
scenario_333,44155.54637125542,0.3728508200731323,622123.7484953266,666279.6677174021,2.338294982910156,12.262459993362429,0.0,14.830896854400637,46.70716691017151,281092.2081592716,4.373615980148315,LOCALLY_SOLVED
scenario_334,44619.52425662883,0.4057895898121171,558579.0746657485,603199.0047119672,2.363469123840332,11.334179878234863,0.0,13.927715063095093,42.33759784698486,296235.10103995795,3.4604079723358154,LOCALLY_SOLVED
scenario_335,44758.54278801457,0.3737125224448128,577214.2395362325,621973.1560367696,2.36159610748291,10.806068897247314,0.0,13.39664101600647,45.73190879821777,303719.8004428319,2.896360158920288,LOCALLY_SOLVED
scenario_336,44777.63407720588,0.4042485186952992,576656.9862868439,621435.0246125684,2.3597171306610107,11.138139963150024,0.0,13.728044033050535,50.74894714355469,305634.39814050327,3.233170986175537,LOCALLY_SOLVED
scenario_337,44953.91614924431,0.4027977961362532,560183.4567347389,605137.7756817794,2.350494146347046,12.122588872909546,0.0,14.704705953598022,44.082435846328735,312664.2229895457,4.284958124160767,LOCALLY_SOLVED
scenario_338,44603.79833114837,0.4218407617773308,616466.908763954,661071.1289358641,2.3585219383239746,10.847244024276732,0.0,13.434839010238647,44.165776014328,298963.875300179,2.9849748611450195,LOCALLY_SOLVED
scenario_339,44222.718288956166,0.4054216585005856,584367.7264378509,628590.8501484655,2.362433195114136,11.677621841430664,0.0,14.268747091293337,42.409987926483154,284147.6051367662,3.8134748935699454,LOCALLY_SOLVED
scenario_340,44993.24195162668,0.385692674921941,558157.7986885402,603151.4263328419,2.366966009140014,10.804854154586792,0.0,13.401380062103271,46.03950095176697,312947.4492544109,2.9037861824035645,LOCALLY_SOLVED
scenario_341,44157.20846075643,0.420699217343665,590223.5240878349,634381.1532478087,2.361333131790161,12.201064825057983,0.0,14.792137145996094,43.96421003341675,282662.3335613381,4.320226907730103,LOCALLY_SOLVED
scenario_342,44945.96076484271,0.4051035789912381,559905.4677189805,604851.8335874022,2.349592924118042,11.383497953414915,0.0,13.963123083114624,41.7689950466156,308710.30649118155,3.509934902191162,LOCALLY_SOLVED
scenario_343,43865.21627828124,0.6352064081172778,626643.0395290691,670508.8910137585,2.3506860733032227,10.582476139068604,0.0,13.163250207901,44.08543586730957,269434.67881399934,2.7154979705810547,LOCALLY_SOLVED
scenario_344,44467.6850074336,0.4202467300769082,572787.1541598385,617255.2594140022,2.335836887359619,12.511865139007568,0.0,15.078126907348633,41.76035404205322,294181.33619387296,4.685635089874268,LOCALLY_SOLVED
scenario_345,44534.27488715899,0.3900571858573976,571662.6681668987,616197.3331112436,2.351336002349853,12.183268070220947,0.0,14.763970136642456,45.46148204803467,290699.4263114284,4.345242023468018,LOCALLY_SOLVED
scenario_346,45031.32771244044,0.4095127936006523,557718.7075029347,602750.4447281688,2.3751680850982666,13.50217604637146,0.0,16.12090301513672,42.61380910873413,313310.02877653326,5.638631105422974,LOCALLY_SOLVED
scenario_347,44508.57827661109,0.6957935160005865,585315.5613433707,629824.8354134978,2.3705880641937256,11.349912881851196,0.0,13.951770067214966,48.22798681259155,293511.7104208051,3.4453859329223637,LOCALLY_SOLVED
scenario_348,44555.225499691245,0.4200451904699988,573480.0681888729,618035.7137337546,2.370777130126953,11.45026183128357,0.0,14.059031963348389,45.45171308517456,295553.42616523954,3.5610461235046387,LOCALLY_SOLVED
scenario_349,44441.46876878303,0.4169533706485954,568517.372572053,612959.2582942067,2.360290050506592,11.493240118026732,0.0,14.083513021469116,43.3673529624939,293696.68533383386,3.636629819869995,LOCALLY_SOLVED
scenario_350,44137.4700123216,0.4202646403426592,610107.3364514649,654245.2267284269,2.375576972961426,11.367660999298096,0.0,13.986033916473389,44.122066020965576,278959.92270103865,3.4973981380462646,LOCALLY_SOLVED
