scenario,stage1_cost,stage1_pen,stage2_pen,objective,solve_time
scenario_173,43410.65099706352,0.0574565695321503,613918.6431681664,657329.3516217994,7.030763149261475
scenario_174,44198.84501069454,0.0575011654602291,631192.1825518489,675391.085063709,6.690065860748291
scenario_175,44180.19243083792,0.0574528541196213,644066.1076083295,688246.3574920215,5.4783689975738525
scenario_176,43133.99094999172,0.0582179524392288,597996.5072621536,641130.5564300977,5.212691068649292
scenario_177,43526.05101018225,0.6797506759165984,737279.9288369517,780806.6595978099,10.452447891235352
scenario_178,43489.18627285929,0.0574783512148131,608998.5039256862,652487.7476768967,5.571139812469482
scenario_179,43145.85204151451,0.0582732514529667,614017.7902641874,657163.7005789534,5.049384117126465
scenario_180,43373.991248361686,0.0576346501829713,606427.4147627153,649801.4636457273,4.516358137130737
scenario_181,42943.74131359968,0.0582542654226813,600476.8477884094,643420.6473562745,3.6523869037628174
scenario_182,43265.27491164703,0.0574409320508407,602151.0435796686,645416.3759322477,5.711838960647583
scenario_183,43720.16313463322,0.0574869075035757,618065.1060673015,661785.3266888421,6.784605026245117
scenario_184,43320.062931384855,0.0582746900220317,615020.7810025318,658340.9022086066,4.249261140823364
scenario_185,43904.1464156,0.0574338049847986,623922.6593798795,667826.8632292844,6.212648868560791
scenario_186,42510.703334113125,0.057791004849181,589657.4796406908,632168.2407658088,4.668102025985718
scenario_187,43291.260048151125,0.0579805556107031,595576.5170564824,638867.8350851891,3.304932117462158
scenario_188,43112.910889894745,0.0573960013442977,598242.5016108961,641355.4698967922,5.0208070278167725
scenario_189,42687.58519903968,0.058253402998957,589933.3446628347,632620.9881152774,3.387006998062134
scenario_190,43803.6850433019,0.0574362598550738,625572.4247629149,669376.1672424766,5.91066312789917
scenario_191,43277.03908054936,0.0574267068356712,595573.4101960743,638850.5067033304,5.46081805229187
scenario_192,43103.43852207027,0.0581389537997371,597998.0597546131,641101.5564156371,4.594206094741821
scenario_193,43891.30252372097,0.0575315027224833,619769.7707557303,663661.130810954,5.787374973297119
scenario_194,43734.68125034263,0.0574173065181229,623332.4618115878,667067.2004792369,5.821925163269043
scenario_195,43403.78652161475,0.0574538290107608,606615.1799876982,650019.023963142,6.74197793006897
scenario_196,42869.130894858434,0.0582849610828022,600392.2136933873,643261.4028732069,3.8343019485473633
scenario_197,43327.337648775145,0.0574259925498684,601176.2865804431,644503.6816552108,4.686070919036865
scenario_198,43897.622793917326,0.0579573856749753,630817.0289052548,674714.7096565578,8.365846872329712
scenario_199,42961.04859105942,0.058287574629711,601955.9706447165,644917.0775233506,3.981574058532715
scenario_200,43565.63718131119,0.0574536647358005,607844.3200823107,651410.0147172866,7.45450496673584
scenario_201,42416.32522824413,0.0572375725030441,583289.8922306985,625706.2746965152,13.294894933700562
scenario_202,43459.34013108051,0.0574298259785885,621184.5049519546,664643.9025128611,4.575480937957764
scenario_203,44145.4660998293,0.0574410375354952,647486.7361727991,691632.2597136659,6.2869391441345215
scenario_204,43033.55445744259,0.0569294069647851,602781.0032168839,645814.6146037334,9.027456998825071
scenario_205,44419.88420231389,0.0575677457664456,628356.8723496188,672776.8141196785,4.496461868286133
