,scenario,sol1,penalty,cost,obj,infeas
25,scenario_67,sol1_21_5.txt,0.0026412811176331364,383569.1189809124,383569.1216221935,0
26,scenario_67,sol1_27_3.txt,0.0018468213405884327,380559.4613564963,380559.46320331766,0
27,scenario_67,sol1_25_1.txt,32971.44752188867,484341.2957437185,517312.74326560716,0
28,scenario_67,sol1_27_2.txt,0.0018468484748619934,383870.22267772653,383870.224524575,0
29,scenario_67,sol1_21_4.txt,0.002640220255612077,382034.8773944002,382034.88003462047,0
30,scenario_67,sol1_26_5.txt,0.0024274218791173023,394073.38476525387,394073.3871926757,0
31,scenario_67,sol1_20_3.txt,0.003559603228923394,372697.3590191708,372697.36257877405,0
32,scenario_67,sol1_8_1.txt,0.009164566869512792,402568.2395425903,402568.24870715715,0
33,scenario_67,sol1_22_1.txt,92920.71321344415,406999.85558951425,499920.5688029584,0
34,scenario_67,sol1_20_2.txt,1.193260804797404,358337.27391615516,358338.46717695997,0
35,scenario_67,sol1_26_4.txt,0.002421233448159305,381973.5516234434,381973.5540446768,0
36,scenario_67,sol1_24_4.txt,0.002594995628541494,380028.2298149478,380028.2324099434,0
37,scenario_67,sol1_8_2.txt,0.009158692005950585,407237.7064130167,407237.71557170874,0
38,scenario_67,sol1_22_2.txt,0.0024729169259150776,381169.4231402593,381169.4256131762,0
39,scenario_67,sol1_19_4.txt,0.0036562549292384113,383229.8995777677,383229.9032340226,0
40,scenario_67,sol1_19_5.txt,1.9073476765396626,431924.7943735944,431926.7017212709,0
41,scenario_67,sol1_22_3.txt,0.0024698769339264685,383517.3402659326,383517.34273580957,0
42,scenario_67,sol1_8_3.txt,0.009158670141506736,407379.1218325087,407379.13099117886,0
43,scenario_67,sol1_20_1.txt,2.1643111007752993,358338.4528370527,358340.6171481535,0
44,scenario_67,sol1_24_5.txt,0.0026001607534447985,381435.6452272425,381435.64782740327,0
45,scenario_67,sol1_24_1.txt,0.002620731990909996,361115.05657364364,361115.05919437564,0
46,scenario_67,sol1_26_3.txt,0.002421171569941369,380343.3409791393,380343.3434003109,0
47,scenario_67,sol1_20_5.txt,1.6770906083318011,428128.9043838546,428130.58147446293,0
48,scenario_67,sol1_19_1.txt,33016.55875550189,488066.4219482214,521082.98070372327,0
49,scenario_67,sol1_20_4.txt,0.00369616007328354,373293.5172822977,373293.5209784578,0
50,scenario_67,sol1_26_2.txt,0.0024223664260125503,376569.6975367699,376569.6999591363,0
51,scenario_67,sol1_24_2.txt,0.002595005039253721,373428.37868872174,373428.3812837268,0
52,scenario_67,sol1_8_4.txt,0.009158644956292579,409494.184874729,409494.19403337396,0
53,scenario_67,sol1_22_4.txt,0.002469826793598381,383619.54263251275,383619.5451023395,0
54,scenario_67,sol1_19_2.txt,0.003387633136752973,398346.13467808656,398346.1380657197,0
55,scenario_67,sol1_19_3.txt,0.003387433177140303,387432.61301814666,387432.61640557984,0
56,scenario_67,sol1_22_5.txt,2.118377870023188,377943.7938239042,377945.9122017742,0
57,scenario_67,sol1_8_5.txt,0.27745648305360054,416552.87759494677,416553.1550514298,0
58,scenario_67,sol1_26_1.txt,31176.18987651865,345238.40503508004,376414.5949115987,0
59,scenario_67,sol1_24_3.txt,0.00259499442576013,379297.7029135694,379297.70550856384,0
